                          name     before      after      delta
         us-east-2a-r3.8xlarge    1076.45     742.73    -333.73
         us-west-2c-c4.8xlarge    1341.99    1004.21    -337.77
        us-east-1a-m4.10xlarge    1652.69    1301.45    -351.25
         us-west-2a-r3.8xlarge    1471.08    1115.56    -355.53
         us-west-2b-r4.4xlarge    1067.75     703.69    -364.06
         us-east-1b-c4.4xlarge     936.67     546.45    -390.21
         us-west-2a-c4.4xlarge     905.32     512.41    -392.90
         us-east-1b-i3.4xlarge    1281.82     843.40    -438.42
         us-west-1b-m2.4xlarge     682.43     237.60    -444.83
         us-west-1b-r3.8xlarge    1441.55     991.66    -449.90
         us-west-2a-r4.2xlarge     763.84     309.99    -453.84
         us-west-1a-r3.8xlarge    1451.42     991.66    -459.76
        us-east-1a-m4.16xlarge    2715.08    2238.72    -476.36
          us-east-1a-m1.medium     507.33      20.52    -486.82
         us-west-2c-d2.2xlarge    1405.07     894.24    -510.83
         us-west-1b-d2.4xlarge    2625.81    2046.01    -579.79
         us-east-1b-c4.8xlarge    1639.49    1049.71    -589.78
         us-west-2b-c4.8xlarge    1734.51    1037.44    -697.07
         us-west-2b-g3.8xlarge    2243.83    1544.13    -699.70
          us-east-1a-m1.xlarge     781.53      75.60    -705.93
         us-west-1a-m2.2xlarge     825.54     118.80    -706.74
          us-west-1a-c1.xlarge     858.74     127.87    -730.87
         us-west-2a-i3.2xlarge    1177.77     423.45    -754.32
         us-west-2c-i3.8xlarge    2515.57    1755.20    -760.37
        us-west-1b-m4.10xlarge    2244.73    1474.32    -770.41
         us-west-2b-c3.8xlarge    1744.75     949.86    -794.89
         us-west-1a-m2.4xlarge    1053.68     242.59    -811.09
         us-east-2b-r4.8xlarge    1475.82     646.68    -829.14
         us-west-2a-g3.8xlarge    2466.14    1559.94    -906.20
         us-west-2b-d2.8xlarge    4516.33    3576.96    -939.37
         us-west-2a-c4.8xlarge    1986.06     998.06    -988.00
        us-west-2a-m4.16xlarge    3145.69    2087.30   -1058.39
         us-east-1b-f1.2xlarge    2631.75    1541.70   -1090.05
          us-west-1b-c1.xlarge    1223.87     127.87   -1096.00
         us-west-1a-i2.8xlarge    5988.11    4861.30   -1126.82
        us-west-2c-m4.10xlarge    2476.67    1328.15   -1148.51
         us-east-1a-r4.8xlarge    2454.33    1288.11   -1166.23
         us-east-1b-g2.8xlarge    3113.74    1899.81   -1213.93
         us-west-2a-r4.4xlarge    1982.77     677.63   -1305.13
          us-east-1a-m3.medium    1512.00     144.72   -1367.28
         us-east-1b-i2.8xlarge    6018.61    4425.34   -1593.27
         us-east-2a-g3.8xlarge    4177.12    2532.54   -1644.58
          us-west-2c-d2.xlarge    2250.96     447.12   -1803.84
           us-east-1a-c3.large    2268.00     226.80   -2041.20
          us-east-1a-p2.xlarge    3146.15     794.67   -2351.48
         us-west-2c-g3.8xlarge    4049.50    1588.71   -2460.79
         us-west-1a-r4.8xlarge    3888.75    1256.30   -2632.45
         us-west-2c-c3.8xlarge    3627.11     993.91   -2633.20
         us-west-2a-c3.8xlarge    3613.24     952.45   -2660.80
         us-west-2a-i3.4xlarge    3587.84     862.39   -2725.44
           us-east-1a-m3.large    3024.00     287.28   -2736.72
         us-east-2c-i3.2xlarge    3246.82     416.50   -2830.32
         us-west-2c-d2.8xlarge    6499.18    3576.96   -2922.22
           us-east-1a-i3.large    3369.60     336.96   -3032.64
        us-west-1b-m4.16xlarge    5449.60    2034.04   -3415.56
           us-east-1a-r3.large    3780.00     358.56   -3421.44
        us-east-1a-r4.16xlarge    6149.88    2470.27   -3679.61
         us-west-1b-r4.8xlarge    4860.91    1158.83   -3702.07
